Sample ID, Description, Type, CBDep
Sample1, , Sample, On
Sample2, , Sample, On
Sample3, , Sample, On
Sample4, , Sample, On
Sample5, , Sample, On
Sample6, , Sample, On
Sample7, , Sample, On
Sample8, , Sample, On
Sample9, , Sample, On
Sample10, , Sample, On
Sample11, , Sample, On
Sample12, , Sample, On
Sample13, , Sample, On
Sample14, , Sample, On
Sample15, , Sample, On
Sample16, , Sample, On
Sample17, , Sample, On
Sample18, , Sample, On
Sample19, , Sample, On
Sample20, , Sample, On
Sample21, , Sample, On
Sample22, , Sample, On
Sample23, , Sample, On
Sample24, , Sample, On
Sample25, , Sample, On
Sample26, , Sample, On
Sample27, , Sample, On
Sample28, , Sample, On
Sample29, , Sample, On
Spectrosil2000, , Sample, On
